Subject,Control,Complexity,Trial,Perweek,Lifetime,Expertise,Lives,Treasure,Input,Score,Difficulty,RR_Mean,RR_Zscore,MDP_r,N_observations,Include_Input,Include_Score,Include_Difficulty,Include_RR,Include_MDP_r,Include_N_obs
Sub17,none,high,trial5,4,15000,expert,6.0,3.0,0.0,21.0,6.0,653.467312348668,1.01047437330244,3.0,nan,True,True,True,False,True,True
Sub17,waypoint,high,trial6,4,15000,expert,5.0,3.0,18.0,18.0,5.0,632.661971830986,-0.013179304277667,9.0,32.0,True,True,True,False,True,True
Sub17,directergodic,high,trial7,4,15000,expert,6.0,3.0,14.0,21.0,7.0,646.396593673966,0.66258450491303,0.0,45.0,True,True,True,False,True,True
Sub17,sharedergodic,high,trial8,4,15000,expert,7.0,2.0,0.0,23.0,7.0,nan,nan,0.0,89.0,True,True,True,False,True,True
Sub17,autoergodic,high,trial9,4,15000,expert,6.0,3.0,0.0,21.0,4.0,627.116279069767,-0.28603563099464,3.0,66.0,True,True,True,False,True,True
Sub18,none,low,trial0,17.51,16200,expert,6.0,3.0,0.0,21.0,3.0,666.745679012346,1.74220322381759,9.0,nan,True,True,True,True,False,True
Sub18,waypoint,low,trial1,17.51,16200,expert,6.0,2.0,19.0,20.0,9.0,649.266826923077,0.393059699626004,6.0,32.0,True,True,True,True,False,True
Sub18,directergodic,low,trial2,17.51,16200,expert,7.0,4.0,14.0,25.0,10.0,630.43691588785,-1.060368271761,0.0,44.0,True,True,True,True,False,True
Sub18,sharedergodic,low,trial3,17.51,16200,expert,8.0,3.0,9.0,27.0,6.0,633.098823529412,-0.854903093712296,nan,65.0,True,True,True,True,False,True
Sub18,autoergodic,low,trial4,17.51,16200,expert,5.0,3.0,0.0,18.0,8.0,658.312195121951,1.0912462777327,3.0,72.0,True,True,True,True,False,True
Sub18,none,high,trial5,17.51,16200,expert,8.0,3.0,0.0,27.0,9.0,625.38283062645,-1.4504789246978,3.0,nan,True,True,True,True,False,True
Sub18,waypoint,high,trial6,17.51,16200,expert,8.0,3.0,22.0,27.0,10.0,656.700729927007,0.966861803219443,3.0,30.0,True,True,True,True,False,True
Sub18,directergodic,high,trial7,17.51,16200,expert,6.0,3.0,13.0,21.0,7.0,647.795673076923,0.279505464228215,nan,53.0,True,True,True,True,False,True
Sub18,sharedergodic,high,trial8,17.51,16200,expert,7.0,3.0,14.0,24.0,9.0,635.301886792453,-0.684854825122563,nan,70.0,True,True,True,True,False,True
Sub18,autoergodic,high,trial9,17.51,16200,expert,6.0,3.0,0.0,21.0,7.0,638.703791469194,-0.422271353330343,nan,62.0,True,True,True,True,False,True
Sub20,none,low,trial0,2.5,2000,expert,8.0,3.0,0.0,27.0,9.0,894.674922600619,0.240145017481797,0.0,nan,True,True,True,True,False,True
Sub20,waypoint,low,trial1,2.5,2000,expert,8.0,2.0,11.0,26.0,7.0,888.172307692308,-0.019174401004636,0.0,44.0,True,True,True,True,False,True
Sub20,directergodic,low,trial2,2.5,2000,expert,8.0,3.0,12.0,27.0,9.0,871.596385542169,-0.680209777304744,3.0,40.0,True,True,True,True,False,True
Sub20,sharedergodic,low,trial3,2.5,2000,expert,8.0,4.0,12.0,28.0,9.0,876.68085106383,-0.477445095560146,3.0,66.0,True,True,True,True,False,True
Sub20,autoergodic,low,trial4,2.5,2000,expert,8.0,2.0,0.0,26.0,10.0,887.68,-0.038807263520061,12.0,77.0,True,True,True,True,False,True
