Subject,Control,Complexity,Trial,Skill,Perweek,Lifetime,Expertise,Alllow,Allhigh,RR
Sub25,sharedergodic,high,trial8,0,0,1500,expert,1,1,814.0169014084507
Sub25,autoergodic,high,trial9,0,0,1500,expert,1,1,869.0540540540541
Sub26,none,low,trial0,0,0,2028,expert,1,1,987.1780821917807
Sub26,waypoint,low,trial1,0,0,2028,expert,1,1,1003.3055555555555
Sub26,directergodic,low,trial2,0,0,2028,expert,1,1,987.2123287671233
Sub26,sharedergodic,low,trial3,0,0,2028,expert,1,1,1045.144927536232
Sub26,autoergodic,low,trial4,0,0,2028,expert,1,1,993.254295532646
Sub26,none,high,trial5,0,0,2028,expert,1,1,1024.5886524822695
Sub26,waypoint,high,trial6,0,0,2028,expert,1,1,934.1612903225806
Sub26,directergodic,high,trial7,0,0,2028,expert,1,1,1035.31541218638
Sub26,sharedergodic,high,trial8,0,0,2028,expert,1,1,1052.7127272727273
Sub26,autoergodic,high,trial9,0,0,2028,expert,1,1,1019.9081272084807
Sub27,none,low,trial0,0,2.5,3896,expert,1,1,878.9240121580548
Sub27,waypoint,low,trial1,0,2.5,3896,expert,1,1,883.4128440366973
Sub27,directergodic,low,trial2,0,2.5,3896,expert,1,1,845.9239766081871
Sub27,sharedergodic,low,trial3,0,2.5,3896,expert,1,1,895.7360248447204
Sub27,autoergodic,low,trial4,0,2.5,3896,expert,1,1,892.0154320987656
Sub27,none,high,trial5,0,2.5,3896,expert,1,1,886.5337423312883
Sub27,waypoint,high,trial6,0,2.5,3896,expert,1,1,810.4887640449437
Sub27,directergodic,high,trial7,0,2.5,3896,expert,1,1,867.7417417417417
Sub27,sharedergodic,high,trial8,0,2.5,3896,expert,1,1,874.3
Sub27,autoergodic,high,trial9,0,2.5,3896,expert,1,1,920.9009584664535
Sub28,none,low,trial0,0,0,1000,expert,1,1,1042.7075812274368
Sub28,waypoint,low,trial1,0,0,1000,expert,1,1,1027.729537366548
Sub28,directergodic,low,trial2,0,0,1000,expert,1,1,1020.1554770318021
Sub28,sharedergodic,low,trial3,0,0,1000,expert,1,1,974.9292929292931
Sub28,autoergodic,low,trial4,0,0,1000,expert,1,1,1086.6616541353385
Sub28,none,high,trial5,0,0,1000,expert,1,1,1071.3370370370371
