Subject,Control,Complexity,Lives,Treasure
42,sharedergodic,low,6,2
42,autoergodic,low,8,2
42,none,high,7,1
42,waypoint,high,7,1
42,directergodic,high,7,3
42,sharedergodic,high,8,1
42,autoergodic,high,7,2
7,sharedergodic,high,6,0
7,autoergodic,high,6,4
8,autoergodic,low,6,3
9,waypoint,low,7,4
9,sharedergodic,low,6,3
11,autoergodic,high,8,3
18,sharedergodic,low,8,3
20,directergodic,high,8,0
21,autoergodic,low,8,3
21,waypoint,high,8,0
24,waypoint,high,7,3
24,autoergodic,high,8,2
27,autoergodic,high,8,3
28,autoergodic,high,8,0
34,directergodic,high,7,3
35,autoergodic,high,7,0
39,waypoint,low,7,0
39,autoergodic,high,8,2
