Subject,Control,Complexity,N_observations
30,sharedergodic,low,72
30,autoergodic,low,59
30,waypoint,high,38
30,directergodic,high,40
30,sharedergodic,high,52
30,autoergodic,high,66
31,waypoint,low,35
31,directergodic,low,45
31,sharedergodic,low,82
31,autoergodic,low,66
31,waypoint,high,31
31,directergodic,high,56
31,sharedergodic,high,71
31,autoergodic,high,75
32,waypoint,low,29
32,directergodic,low,41
32,sharedergodic,low,75
32,autoergodic,low,71
32,waypoint,high,15
32,directergodic,high,32
32,sharedergodic,high,73
32,autoergodic,high,78
33,waypoint,low,31
33,directergodic,low,37
33,sharedergodic,low,62
33,autoergodic,low,74
33,waypoint,high,33
33,directergodic,high,47
33,sharedergodic,high,62
33,autoergodic,high,66
34,waypoint,low,38
34,directergodic,low,66
34,sharedergodic,low,65
34,autoergodic,low,65
34,waypoint,high,34
34,sharedergodic,high,69
34,autoergodic,high,64
35,waypoint,low,36
35,directergodic,low,54
35,sharedergodic,low,65
35,autoergodic,low,88
35,waypoint,high,41
35,directergodic,high,43
35,sharedergodic,high,61
35,autoergodic,high,79
36,waypoint,low,33
36,directergodic,low,52
36,sharedergodic,low,71
36,autoergodic,low,80
36,waypoint,high,25
36,directergodic,high,57
36,sharedergodic,high,52
36,autoergodic,high,91
37,waypoint,low,35
37,directergodic,low,50
37,sharedergodic,low,56
37,autoergodic,low,77
37,waypoint,high,36
37,directergodic,high,43
37,sharedergodic,high,66
37,autoergodic,high,73
38,waypoint,low,30
38,directergodic,low,40
38,sharedergodic,low,60
38,autoergodic,low,75
38,waypoint,high,27
38,sharedergodic,high,63
38,autoergodic,high,68
39,waypoint,low,34
39,directergodic,low,38
39,sharedergodic,low,71
39,autoergodic,low,89
39,waypoint,high,34
39,directergodic,high,56
39,sharedergodic,high,92
40,waypoint,low,31
40,directergodic,low,78
40,sharedergodic,low,60
40,autoergodic,low,73
40,waypoint,high,36
40,directergodic,high,76
40,sharedergodic,high,72
40,autoergodic,high,78
41,waypoint,low,26
41,directergodic,low,62
41,sharedergodic,low,63
41,autoergodic,low,83
41,waypoint,high,22
41,directergodic,high,57
41,sharedergodic,high,77
41,autoergodic,high,79
42,waypoint,low,42
42,directergodic,low,43
42,sharedergodic,low,83
42,autoergodic,low,82
42,waypoint,high,42
42,directergodic,high,75
42,sharedergodic,high,67
42,autoergodic,high,78
