Subject,Control,Density,Lives,Treasure,Input,Difficulty,Score
24,none,high,8,3,0,8,27
24,directergodic,high,8,3,17,9,27
24,sharedergodic,high,8,4,13,8,28
25,none,low,8,3,0,9,27
25,waypoint,low,8,1,13,8,25
25,directergodic,low,6,3,17,9,21
25,sharedergodic,low,8,3,12,9,27
25,autoergodic,low,7,3,0,10,24
25,none,high,8,2,0,10,26
25,waypoint,high,8,4,15,8,28
25,directergodic,high,7,3,15,8,24
25,sharedergodic,high,8,3,10,9,27
25,autoergodic,high,7,3,0,10,24
26,none,low,7,2,0,10,23
26,waypoint,low,8,3,23,10,27
26,directergodic,low,6,2,28,9,20
26,sharedergodic,low,8,4,24,9,28
26,autoergodic,low,7,1,0,9,22
26,none,high,7,2,0,10,23
26,waypoint,high,8,0,19,8,24
26,directergodic,high,8,4,24,10,28
26,sharedergodic,high,7,3,18,10,24
26,autoergodic,high,8,3,0,10,27
27,none,low,8,4,0,10,28
27,waypoint,low,8,4,9,8,28
27,directergodic,low,7,3,4,10,24
27,sharedergodic,low,7,3,2,5,24
27,autoergodic,low,6,4,0,9,22
27,none,high,7,4,0,10,25
27,waypoint,high,7,3,11,8,24
27,directergodic,high,7,4,2,10,25
27,sharedergodic,high,8,3,2,9,27
28,none,low,7,1,0,6,22
28,waypoint,low,8,1,6,7,25
28,directergodic,low,6,4,5,8,22
28,sharedergodic,low,8,4,7,8,28
28,autoergodic,low,6,2,0,7,20
28,none,high,8,4,0,10,28
28,waypoint,high,8,4,12,8,28
28,directergodic,high,7,4,4,6,25
28,sharedergodic,high,8,0,1,7,24
29,none,low,8,4,0,8,28
29,waypoint,low,5,3,6,6,18
29,directergodic,low,7,4,4,8,25
29,sharedergodic,low,5,4,3,8,19
29,autoergodic,low,5,3,0,8,18
29,none,high,7,4,0,7,25
29,waypoint,high,6,3,7,8,21
29,directergodic,high,7,4,10,7,25
29,sharedergodic,high,8,3,6,7,27
29,autoergodic,high,7,4,0,9,25
